Categoria;Produto;Descrição;Preço;Preço promocional;Modelo de opções;Disponível;Destaque;Grupos de opções
Pizzas;Monte sua Pizza - Pequena (6 fatias);Escolha 1 ou 2 sabores. Em pizza meio a meio, prevalece o valor do sabor mais caro. Pequena (6 fatias).;45,00;;;sim;não;"[{""name"":""Sabores"",""required"":true,""min"":1,""max"":2,""pricingMode"":""MAX"",""addons"":[{""name"":""Calabresa"",""price"":0},{""name"":""Baiana"",""price"":0},{""name"":""Presunto"",""price"":0},{""name"":""Mussarela"",""price"":0},{""name"":""Napolitana"",""price"":0},{""name"":""Marguerita"",""price"":0},{""name"":""Bacon"",""price"":0},{""name"":""Moda da Casa"",""price"":10},{""name"":""Frango Catupiry"",""price"":10},{""name"":""Portuguesa"",""price"":10},{""name"":""Deliciosa"",""price"":10},{""name"":""Mineira"",""price"":10},{""name"":""Afrodisíaca"",""price"":10},{""name"":""Carajás"",""price"":10},{""name"":""Frango ao Creme"",""price"":10},{""name"":""4 Queijos"",""price"":10},{""name"":""Peperoni"",""price"":10},{""name"":""Carne de Sol Cremosa"",""price"":20},{""name"":""Carne de Sol"",""price"":20},{""name"":""Camarão com Cream Cheese"",""price"":20},{""name"":""Camarão com Palmito"",""price"":20},{""name"":""Filé com Cream Cheese"",""price"":20},{""name"":""Prime com Cream Cheese"",""price"":20},{""name"":""Filé ao 4 Queijos"",""price"":30}]},{""name"":""Borda recheada"",""required"":false,""min"":0,""max"":1,""pricingMode"":""SUM"",""addons"":[{""name"":""Borda de Mussarela"",""price"":20},{""name"":""Borda de Catupiry"",""price"":20},{""name"":""Borda de Catupiry c/ Calabresa"",""price"":20},{""name"":""Borda de Queijo Cheddar"",""price"":20}]}]"
Pizzas;Monte sua Pizza - Média (8 fatias);Escolha 1 ou 2 sabores. Em pizza meio a meio, prevalece o valor do sabor mais caro. Média (8 fatias).;60,00;;;sim;sim;"[{""name"":""Sabores"",""required"":true,""min"":1,""max"":2,""pricingMode"":""MAX"",""addons"":[{""name"":""Calabresa"",""price"":0},{""name"":""Baiana"",""price"":0},{""name"":""Presunto"",""price"":0},{""name"":""Mussarela"",""price"":0},{""name"":""Napolitana"",""price"":0},{""name"":""Marguerita"",""price"":0},{""name"":""Bacon"",""price"":0},{""name"":""Moda da Casa"",""price"":5},{""name"":""Frango Catupiry"",""price"":5},{""name"":""Portuguesa"",""price"":5},{""name"":""Deliciosa"",""price"":5},{""name"":""Mineira"",""price"":5},{""name"":""Afrodisíaca"",""price"":5},{""name"":""Carajás"",""price"":5},{""name"":""Frango ao Creme"",""price"":5},{""name"":""4 Queijos"",""price"":5},{""name"":""Peperoni"",""price"":5},{""name"":""Carne de Sol Cremosa"",""price"":15},{""name"":""Carne de Sol"",""price"":15},{""name"":""Camarão com Cream Cheese"",""price"":15},{""name"":""Camarão com Palmito"",""price"":15},{""name"":""Filé com Cream Cheese"",""price"":15},{""name"":""Prime com Cream Cheese"",""price"":15},{""name"":""Filé ao 4 Queijos"",""price"":25}]},{""name"":""Borda recheada"",""required"":false,""min"":0,""max"":1,""pricingMode"":""SUM"",""addons"":[{""name"":""Borda de Mussarela"",""price"":20},{""name"":""Borda de Catupiry"",""price"":20},{""name"":""Borda de Catupiry c/ Calabresa"",""price"":20},{""name"":""Borda de Queijo Cheddar"",""price"":20}]}]"
Pizzas;Monte sua Pizza - Grande (10 fatias);Escolha 1 ou 2 sabores. Em pizza meio a meio, prevalece o valor do sabor mais caro. Grande (10 fatias).;70,00;;;sim;sim;"[{""name"":""Sabores"",""required"":true,""min"":1,""max"":2,""pricingMode"":""MAX"",""addons"":[{""name"":""Calabresa"",""price"":0},{""name"":""Baiana"",""price"":0},{""name"":""Presunto"",""price"":0},{""name"":""Mussarela"",""price"":0},{""name"":""Napolitana"",""price"":0},{""name"":""Marguerita"",""price"":0},{""name"":""Bacon"",""price"":0},{""name"":""Moda da Casa"",""price"":5},{""name"":""Frango Catupiry"",""price"":5},{""name"":""Portuguesa"",""price"":5},{""name"":""Deliciosa"",""price"":5},{""name"":""Mineira"",""price"":5},{""name"":""Afrodisíaca"",""price"":5},{""name"":""Carajás"",""price"":5},{""name"":""Frango ao Creme"",""price"":5},{""name"":""4 Queijos"",""price"":5},{""name"":""Peperoni"",""price"":5},{""name"":""Carne de Sol Cremosa"",""price"":15},{""name"":""Carne de Sol"",""price"":15},{""name"":""Camarão com Cream Cheese"",""price"":15},{""name"":""Camarão com Palmito"",""price"":15},{""name"":""Filé com Cream Cheese"",""price"":15},{""name"":""Prime com Cream Cheese"",""price"":15},{""name"":""Filé ao 4 Queijos"",""price"":25}]},{""name"":""Borda recheada"",""required"":false,""min"":0,""max"":1,""pricingMode"":""SUM"",""addons"":[{""name"":""Borda de Mussarela"",""price"":20},{""name"":""Borda de Catupiry"",""price"":20},{""name"":""Borda de Catupiry c/ Calabresa"",""price"":20},{""name"":""Borda de Queijo Cheddar"",""price"":20}]}]"
Pizzas;Monte sua Pizza - Gigante (12 fatias);Escolha 1 ou 2 sabores. Em pizza meio a meio, prevalece o valor do sabor mais caro. Gigante (12 fatias).;80,00;;;sim;não;"[{""name"":""Sabores"",""required"":true,""min"":1,""max"":2,""pricingMode"":""MAX"",""addons"":[{""name"":""Calabresa"",""price"":0},{""name"":""Baiana"",""price"":0},{""name"":""Presunto"",""price"":0},{""name"":""Mussarela"",""price"":0},{""name"":""Napolitana"",""price"":0},{""name"":""Marguerita"",""price"":0},{""name"":""Bacon"",""price"":0},{""name"":""Moda da Casa"",""price"":10},{""name"":""Frango Catupiry"",""price"":10},{""name"":""Portuguesa"",""price"":10},{""name"":""Deliciosa"",""price"":10},{""name"":""Mineira"",""price"":10},{""name"":""Afrodisíaca"",""price"":10},{""name"":""Carajás"",""price"":10},{""name"":""Frango ao Creme"",""price"":10},{""name"":""4 Queijos"",""price"":10},{""name"":""Peperoni"",""price"":10},{""name"":""Carne de Sol Cremosa"",""price"":20},{""name"":""Carne de Sol"",""price"":20},{""name"":""Camarão com Cream Cheese"",""price"":20},{""name"":""Camarão com Palmito"",""price"":20},{""name"":""Filé com Cream Cheese"",""price"":20},{""name"":""Prime com Cream Cheese"",""price"":20},{""name"":""Filé ao 4 Queijos"",""price"":35}]},{""name"":""Borda recheada"",""required"":false,""min"":0,""max"":1,""pricingMode"":""SUM"",""addons"":[{""name"":""Borda de Mussarela"",""price"":20},{""name"":""Borda de Catupiry"",""price"":20},{""name"":""Borda de Catupiry c/ Calabresa"",""price"":20},{""name"":""Borda de Queijo Cheddar"",""price"":20}]}]"
Pizzas doces;Monte sua Pizza Doce - Pequena (6 fatias);Escolha 1 ou 2 sabores doces. Em pizza meio a meio, prevalece o valor do sabor mais caro. Pequena (6 fatias).;55,00;;;sim;não;"[{""name"":""Sabores doces"",""required"":true,""min"":1,""max"":2,""pricingMode"":""MAX"",""addons"":[{""name"":""Nutella"",""price"":0},{""name"":""Nutella com Morango"",""price"":0},{""name"":""Chocolate"",""price"":0},{""name"":""Banana Cremosa"",""price"":0}]},{""name"":""Borda recheada"",""required"":false,""min"":0,""max"":1,""pricingMode"":""SUM"",""addons"":[{""name"":""Borda de Mussarela"",""price"":20},{""name"":""Borda de Catupiry"",""price"":20},{""name"":""Borda de Catupiry c/ Calabresa"",""price"":20},{""name"":""Borda de Queijo Cheddar"",""price"":20}]}]"
Pizzas doces;Monte sua Pizza Doce - Média (8 fatias);Escolha 1 ou 2 sabores doces. Em pizza meio a meio, prevalece o valor do sabor mais caro. Média (8 fatias).;65,00;;;sim;não;"[{""name"":""Sabores doces"",""required"":true,""min"":1,""max"":2,""pricingMode"":""MAX"",""addons"":[{""name"":""Nutella"",""price"":0},{""name"":""Nutella com Morango"",""price"":0},{""name"":""Chocolate"",""price"":0},{""name"":""Banana Cremosa"",""price"":0}]},{""name"":""Borda recheada"",""required"":false,""min"":0,""max"":1,""pricingMode"":""SUM"",""addons"":[{""name"":""Borda de Mussarela"",""price"":20},{""name"":""Borda de Catupiry"",""price"":20},{""name"":""Borda de Catupiry c/ Calabresa"",""price"":20},{""name"":""Borda de Queijo Cheddar"",""price"":20}]}]"
Pizzas doces;Monte sua Pizza Doce - Grande (10 fatias);Escolha 1 ou 2 sabores doces. Em pizza meio a meio, prevalece o valor do sabor mais caro. Grande (10 fatias).;75,00;;;sim;não;"[{""name"":""Sabores doces"",""required"":true,""min"":1,""max"":2,""pricingMode"":""MAX"",""addons"":[{""name"":""Nutella"",""price"":0},{""name"":""Nutella com Morango"",""price"":0},{""name"":""Chocolate"",""price"":0},{""name"":""Banana Cremosa"",""price"":0}]},{""name"":""Borda recheada"",""required"":false,""min"":0,""max"":1,""pricingMode"":""SUM"",""addons"":[{""name"":""Borda de Mussarela"",""price"":20},{""name"":""Borda de Catupiry"",""price"":20},{""name"":""Borda de Catupiry c/ Calabresa"",""price"":20},{""name"":""Borda de Queijo Cheddar"",""price"":20}]}]"
Pizzas doces;Monte sua Pizza Doce - Gigante (12 fatias);Escolha 1 ou 2 sabores doces. Em pizza meio a meio, prevalece o valor do sabor mais caro. Gigante (12 fatias).;90,00;;;sim;não;"[{""name"":""Sabores doces"",""required"":true,""min"":1,""max"":2,""pricingMode"":""MAX"",""addons"":[{""name"":""Nutella"",""price"":0},{""name"":""Nutella com Morango"",""price"":0},{""name"":""Chocolate"",""price"":0},{""name"":""Banana Cremosa"",""price"":0}]},{""name"":""Borda recheada"",""required"":false,""min"":0,""max"":1,""pricingMode"":""SUM"",""addons"":[{""name"":""Borda de Mussarela"",""price"":20},{""name"":""Borda de Catupiry"",""price"":20},{""name"":""Borda de Catupiry c/ Calabresa"",""price"":20},{""name"":""Borda de Queijo Cheddar"",""price"":20}]}]"
Esfihas;Carne;Massa artesanal, carne bovina temperada com tomate, cebola e um toque de limão;10,00;;;sim;não;
Esfihas;Calabresa;Massa artesanal, queijo mussarela e calabresa fatiada;10,00;;;sim;não;
Esfihas;Pizza;Massa artesanal, queijo mussarela, presunto, tomate e orégano;10,00;;;sim;não;
Esfihas;Bacon;Massa artesanal, queijo mussarela e bacon em cubos;10,00;;;sim;não;
Esfihas;Alho Frito;Massa artesanal, queijo mussarela e alho frito;10,00;;;sim;não;
Esfihas;Presunto e Queijo;Massa artesanal, presunto e queijo ralado;10,00;;;sim;não;
Esfihas;Frango Cremoso;Massa artesanal, queijo mussarela, frango desfiado e requeijão;12,00;;;sim;não;
Esfihas;Frango c/ Cream Cheese;Massa artesanal, queijo mussarela, frango desfiado e cream cheese;12,00;;;sim;não;
Esfihas;Carne com Queijo;Massa artesanal, carne bovina moída, tomate, cebola e queijo mussarela;12,00;;;sim;não;
Esfihas;Carne com Cheddar;Massa artesanal, carne bovina moída, tomate, cebola e cheddar;12,00;;;sim;não;
Esfihas;Carne de Sol c/ Cream Cheese;Massa artesanal, queijo mussarela, carne de sol desfiada e cream cheese;12,00;;;sim;não;
Esfihas;Carne de Sol c/ Requeijão;Massa artesanal, queijo mussarela, carne de sol desfiada e requeijão cremoso;12,00;;;sim;não;
Esfihas;Nutella;Massa artesanal coberta com Nutella Original;10,00;;;sim;não;
Esfihas;Chocolate com M&M;Massa artesanal coberta com chocolate ao leite e M&M;10,00;;;sim;não;
Esfihas;Banana Cremosa;Massa artesanal, mussarela, banana, creme de leite e leite condensado com canela;10,00;;;sim;não;
Petiscos;Batata Simples (350g);;22,00;;;sim;não;
Petiscos;Batata Especial (350g);Queijo cheddar e bacon;26,00;;;sim;não;
Petiscos;Quibe Frito (300g);;25,00;;;sim;não;
Petiscos;Coxinha de Frango (300g);;25,00;;;sim;não;
Petiscos;Bolinha de Queijo (300g);;25,00;;;sim;não;
Petiscos;Calabresa Acebolada (500g);;32,00;;;sim;não;
Petiscos;Frango a Passarinho (500g);;35,00;;;sim;não;
Petiscos;Torresmo (400g);;35,00;;;sim;não;
